"","x"
"1","125 ST"
"2","14 ST"
"3","14 ST-UNION SQ"
"4","161/YANKEE STAD"
"5","23 ST"
"6","28 ST"
"7","34 ST-HERALD SQ"
"8","34 ST-PENN STA"
"9","42 ST-PORT AUTH"
"10","47-50 STS ROCK"
"11","50 ST"
"12","59 ST"
"13","59 ST COLUMBUS"
"14","7 AV"
"15","86 ST"
"16","96 ST"
"17","ATL AV-BARCLAY"
"18","BOWLING GREEN"
"19","CANAL ST"
"20","CHAMBERS ST"
"21","CHURCH AV"
"22","CORTLANDT ST"
"23","FULTON ST"
"24","GRD CNTRL-42 ST"
"25","JAY ST-METROTEC"
"26","KINGS HWY"
"27","LEXINGTON AV/53"
"28","METS-WILLETS PT"
"29","TIMES SQ-42 ST"
"30","WALL ST"
